term,pA,pFgA_z_FDR_0.01,pAgF_given_pF=0.50,pFgA,pAgF_z_FDR_0.01,pFgA_z,pFgA_given_pF=0.50,pAgF,pAgF_z
emotion*,0.011309836927932668,0.022627218934911247,0.015984255823980942,-0.00057126647129580378,-0.27797610921008764,0.29305895771271961,0.70319845676662951,4.6862212736778863,4.2760604518149954
(social | mentalizing),0.011309836927932668,0.016765550239234449,0.013762564715216107,-1.5119431534006498,-0.68792619539110333,0.13267033820652022,0.59624227158889864,1.6807714383021619,0.54696588636402554
(value | reward | incentive),0.011309836927932668,0.014790286975717442,0.012899905392620625,-1.7935443665060009,-0.12743770715426492,0.10425716740648547,0.57285043427146465,1.0326216556703633,0.0
(episodic | future | past | retrieval | prospective | memory ret,0.011309836927932668,0.011956989247311828,0.011588323811549233,-2.1106815438513782,-0.65562201650166463,0.13007121851113593,0.51509186019099384,0.25390344825674416,0.0
