term,pA,pFgA_z_FDR_0.01,pAgF_given_pF=0.50,pFgA,pAgF_z_FDR_0.01,pFgA_z,pFgA_given_pF=0.50,pAgF,pAgF_z
(episodic | future | past | retrieval | prospective | memory ret,0.0041854401573542532,0.008196976780426992,0.0059117112363870515,-3.1178224112968436,-2.4607480353360955,0.24313440777333442,0.69420680783156008,2.4734728406916138,0.61043638094408381
emotion*,0.0041854401573542532,0.0043992796501157701,0.0042737622944942254,-5.0392404253571126,-5.0392404253571126,0.1536806128525407,0.50521697744311156,0.12559257325903764,0.0
(value | reward | incentive),0.0041854401573542532,0.0041750647854880505,0.0041807000946073791,-3.8859255260981054,-3.8859255260981054,0.08028790405506428,0.49085104065714341,0.010416709187612089,0.0
(social | mentalizing),0.0041854401573542532,0.0037861452049095063,0.004005928924028547,-4.2583876795066802,-4.2583876795066802,0.081043875545481217,0.45557336054395037,-0.22944261726057796,0.0
